year_film,year_ceremony,ceremony,Category,gender,name,Race,film,winner
2008,2009,81,PRODUCTION DESIGN,Male,Art Direction: Nathan Crowley; Set Decoration: Peter Lando,White,The Dark Knight,FALSE
2008,2009,81,PRODUCTION DESIGN,Male,Art Direction: Michael Carlin; Set Decoration: Rebecca Alleway,White,The Duchess,FALSE
2008,2009,81,PRODUCTION DESIGN,Female,Art Direction: Kristi Zea; Set Decoration: Debra Schutt,White,Revolutionary Road,FALSE
2008,2009,81,CINEMATOGRAPHY,Male,Tom Stern,White,Changeling,FALSE
2008,2009,81,CINEMATOGRAPHY,Male,Claudio Miranda,White,The Curious Case of Benjamin Button,FALSE
2008,2009,81,CINEMATOGRAPHY,Male,Wally Pfister,White,The Dark Knight,FALSE
2008,2009,81,CINEMATOGRAPHY,Male,Chris Menges and Roger Deakins,White,The Reader,FALSE
2008,2009,81,COSTUME DESIGN,Female,Catherine Martin,White,Australia,FALSE
2008,2009,81,COSTUME DESIGN,Female,Jacqueline West,White,The Curious Case of Benjamin Button,FALSE
2008,2009,81,COSTUME DESIGN,Male,Danny Glicker,White,Milk,FALSE
2008,2009,81,COSTUME DESIGN,Male,Albert Wolsky,White,Revolutionary Road,FALSE
2008,2009,81,DIRECTING,Male,David Fincher,White,The Curious Case of Benjamin Button,FALSE
2008,2009,81,DIRECTING,Male,Ron Howard,White,Frost/Nixon,FALSE
2008,2009,81,DIRECTING,Male,Gus Van Sant,White,Milk,FALSE
2008,2009,81,DIRECTING,Male,Stephen Daldry,White,The Reader,FALSE
2008,2009,81,DOCUMENTARY (Feature),Female,Ellen Kuras and Thavisouk Phrasavath,Asian,The Betrayal (Nerakhoon),FALSE
2008,2009,81,DOCUMENTARY (Feature),Male,Werner Herzog and Henry Kaiser,White,Encounters at the End of the World,FALSE
2008,2009,81,DOCUMENTARY (Feature),Male,Scott Hamilton Kennedy,White,The Garden,FALSE
2008,2009,81,DOCUMENTARY (Feature),Female,Tia Lessin and Carl Deal,White,Trouble the Water,FALSE
2008,2009,81,DOCUMENTARY (Short Subject),Male,Steven Okazaki,White,The Conscience of Nhem En,FALSE
2008,2009,81,DOCUMENTARY (Short Subject),Female,Irene Taylor Brodsky and Tom Grant,White,The Final Inch,FALSE
2008,2009,81,DOCUMENTARY (Short Subject),Female,Adam Pertofsky and Margaret Hyde,White,The Witness - From the Balcony of Room 306,FALSE
2008,2009,81,FILM EDITING,Male,Kirk Baxter and Angus Wall,White,The Curious Case of Benjamin Button,FALSE
2008,2009,81,FILM EDITING,Male,Lee Smith,White,The Dark Knight,FALSE
2008,2009,81,FILM EDITING,Male,Mike Hill and Dan Hanley,White,Frost/Nixon,FALSE
2008,2009,81,FILM EDITING,Male,Elliot Graham,White,Milk,FALSE
2008,2009,81,FOREIGN LANGUAGE FILM,Male,Germany,White,The Baader Meinhof Complex,FALSE
2008,2009,81,FOREIGN LANGUAGE FILM,Male,France,White,The Class,FALSE
2008,2009,81,FOREIGN LANGUAGE FILM,Male,Austria,White,Revanche,FALSE
2008,2009,81,FOREIGN LANGUAGE FILM,Male,Israel,Asian,Waltz with Bashir,FALSE
2008,2009,81,MAKEUP,Male,"John Caglione, Jr. and Conor O'Sullivan",White,The Dark Knight,FALSE
2008,2009,81,MAKEUP,Male,Mike Elizalde and Thom Floutz,White,Hellboy II: The Golden Army,FALSE
2008,2009,81,MUSIC (Original Score),Male,Alexandre Desplat,White,The Curious Case of Benjamin Button,FALSE
2008,2009,81,MUSIC (Original Score),Male,James Newton Howard,White,Defiance,FALSE
2008,2009,81,MUSIC (Original Score),Male,Danny Elfman,White,Milk,FALSE
2008,2009,81,MUSIC (Original Score),Male,Thomas Newman,White,WALL-E,FALSE
2008,2009,81,MUSIC (Original Song),Male,Music by Peter Gabriel and Thomas Newman; Lyric by Peter Gabriel,White,WALL-E,FALSE
2008,2009,81,MUSIC (Original Song),Male,Music and Lyric by A.R. Rahman and Maya Arulpragasam,Asian,Slumdog Millionaire,FALSE
2008,2009,81,BEST PICTURE,Male,"Kathleen Kennedy, Frank Marshall and Ce?°n Chaffin, Producers",White,The Curious Case of Benjamin Button,FALSE
2008,2009,81,BEST PICTURE,Male,"Brian Grazer, Ron Howard and Eric Fellner, Producers",White,Frost/Nixon,FALSE
2008,2009,81,BEST PICTURE,Male,"Dan Jinks and Bruce Cohen, Producers",White,Milk,FALSE
2008,2009,81,BEST PICTURE,Female,"Anthony Minghella, Sydney Pollack, Donna Gigliotti and Redmond Morris, Producers",White,The Reader,FALSE
2008,2009,81,SHORT FILM (Animated),Male,Konstantin Bronzit,White,Lavatory - Lovestory,FALSE
2008,2009,81,SHORT FILM (Animated),Male,Emud Mokhberi and Thierry Marchand,White,Oktapodi,FALSE
2008,2009,81,SHORT FILM (Animated),Male,Doug Sweetland,White,Presto,FALSE
2008,2009,81,SHORT FILM (Animated),Male,Alan Smith and Adam Foulkes,White,This Way Up,FALSE
2008,2009,81,SHORT FILM (Live Action),Male,Reto Caffi,White,Auf der Strecke (On the Line),FALSE
2008,2009,81,SHORT FILM (Live Action),Male,Elizabeth Marre and Olivier Pont,White,Manon on the Asphalt,FALSE
2008,2009,81,SHORT FILM (Live Action),Female,Steph Green and Tamara Anghie,White,New Boy,FALSE
2008,2009,81,SHORT FILM (Live Action),Female,Tivi Magnusson and Dorte H??gh,White,The Pig,FALSE
2008,2009,81,SOUND EDITING,Male,Frank Eulner and Christopher Boyes,White,Iron Man,FALSE
2008,2009,81,SOUND EDITING,Male,Glenn Freemantle and Tom Sayers,White,Slumdog Millionaire,FALSE
2008,2009,81,SOUND EDITING,Male,Ben Burtt and Matthew Wood,White,WALL-E,FALSE
2008,2009,81,SOUND EDITING,Male,Wylie Stateman,White,Wanted,FALSE
2008,2009,81,SOUND MIXING,Male,"David Parker, Michael Semanick, Ren Klyce and Mark Weingarten",White,The Curious Case of Benjamin Button,FALSE
2008,2009,81,SOUND MIXING,Female,"Lora Hirschberg, Gary Rizzo and Ed Novick",White,The Dark Knight,FALSE
